STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 09:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 10:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 12:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 15:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 17:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 18:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 19:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 21:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 22:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 07:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 08:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 10:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 11:00,0.16, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 12:00,0.11, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 13:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 14:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481213 23:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481214 04:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481214 05:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481214 09:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 13:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 14:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 15:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 16:00,0.07, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 17:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 19:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 20:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 21:00,0.15, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 22:00,0.33, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481216 23:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481217 00:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481217 01:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481217 02:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 02:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 03:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 04:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 05:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 09:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 10:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 11:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 12:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 17:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 18:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 20:00,0.10, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 21:00,0.25, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 22:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481225 23:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 00:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 01:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 02:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 03:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 05:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 06:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 07:00,0.07, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 08:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 09:00,0.11, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 10:00,0.14, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 11:00,0.13, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 12:00,0.13, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 13:00,0.11, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 14:00,0.13, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 15:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 16:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 17:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 19:00,0.07, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 21:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 22:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481226 23:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 00:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 01:00,0.17, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 02:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 06:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 07:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 09:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481227 11:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481231 15:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481231 16:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481231 18:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481231 19:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 06:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 10:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 11:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 12:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 13:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490101 14:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490102 00:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490118 23:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 00:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 01:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 02:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 03:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 04:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 05:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 06:00,0.07, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 07:00,0.11, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 08:00,0.11, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 09:00,0.13, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 10:00,0.13, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 11:00,0.26, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 12:00,0.26, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 13:00,0.22, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 14:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490119 15:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490121 12:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490121 13:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490121 14:00,0.10, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490121 15:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490121 16:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 02:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 03:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 04:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 05:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 06:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 14:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 15:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490122 16:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490201 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490201 13:00,999.99,[, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490202 00:00,999.99,], 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490202 18:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490202 19:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19490202 20:00,0.01, , 
